Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,population,rateKill
2321785,4-Jun-22,California,San Jose,Monterey Rd and Rancho Dr,1,0,N/A,37.276656,-121.833723,1,street_center,,Monterey Rd,,,San Jose,CA,Santa Clara County,95111,US,TIGER/Line® dataset from the US Census Bureau,2896,0.035
2320671,4-Jun-22,Texas,Dallas,4800 block of Military Pkwy,1,0,N/A,32.865882,-96.792877,0.7,street_center,,E Northwest Pkwy N,,,Dallas,TX,Dallas County,75225,US,TIGER/Line® dataset from the US Census Bureau,2278,0.044
2320775,4-Jun-22,Florida,Tampa,9800 Block of N Myrtle St,1,0,N/A,27.996097,-82.582035,0.5,place,,,,,Tampa,FL,Hillsborough County,33601,US,TIGER/Line® dataset from the US Census Bureau,,
2320798,4-Jun-22,North Carolina,Charlotte,900 block of Brookshire Blvd,1,0,N/A,35.217884,-80.871461,1,range_interpolation,900,State Hwy 160,,,Charlotte,NC,Mecklenburg County,28203,US,TIGER/Line® dataset from the US Census Bureau,839,0.119
2321707,4-Jun-22,Alaska,Anchorage,1400 block of Nunaka Dr,1,0,N/A,61.220018,-149.855702,0.5,place,,,,,Anchorage,AK,Anchorage Municipality,99501,US,TIGER/Line® dataset from the US Census Bureau,,
2321704,4-Jun-22,Louisiana,Des Allemands,WPA Rd,1,0,N/A,29.812136,-90.461957,1,street_center,,Wpa Rd,,,Des Allemands,LA,St. Charles Parish,70030,US,TIGER/Line® dataset from the US Census Bureau,769,0.13
2321698,4-Jun-22,New York,Hempstead,77 Terrace Ave,1,3,N/A,40.710272,-73.630634,1,rooftop,77,Terrace Ave,,,Hempstead,NY,Nassau County,11550,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2437,0.041
2321170,4-Jun-22,North Carolina,Asheville,61 Bingham Rd,2,0,N/A,35.602478,-82.581534,1,rooftop,61,Bingham Rd,,,Asheville,NC,Buncombe County,28806,US,Buncombe,1254,0.159
2321593,4-Jun-22,South Carolina,Summerton,US-15 and St Paul Rd,1,7,N/A,33.55156,-80.322756,0.5,place,,,,,Summerton,SC,Clarendon County,29148,US,TIGER/Line® dataset from the US Census Bureau,,
2321266,4-Jun-22,Pennsylvania,Philadelphia,200 block of South St,3,12,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau,,
2321590,4-Jun-22,Ohio,Cincinnati,823 Blair Ave,1,0,N/A,39.140908,-84.491776,1,rooftop,823,Blair Ave,,,Cincinnati,OH,Hamilton County,45229,US,Hamilton,747,0.134
2321500,4-Jun-22,Georgia,Macon,300 Block of Jones Ave,1,3,N/A,32.804382,-83.617554,0.5,place,,,,,Macon,GA,Bibb County,31201,US,TIGER/Line® dataset from the US Census Bureau,,
2321555,4-Jun-22,Missouri,Saint Louis,4700 block of Labadie Ave,1,0,N/A,38.631501,-90.19231,0.5,place,,,,,Saint Louis,MO,St. Louis City,63101,US,TIGER/Line® dataset from the US Census Bureau,,
2321517,4-Jun-22,Georgia,Decatur,2892 Eastwyck Cir,1,0,N/A,33.716465,-84.267306,1,rooftop,2892,Eastwyck Cir,,,Decatur,GA,Dekalb County,30032,US,Dekalb,1248,0.08
2321494,4-Jun-22,Florida,Kissimmee (Poinciana),Saint Tropez Ct,1,1,N/A,28.140294,-81.458406,0.4,place,,,,,Poinciana,FL,Polk County,34759,US,TIGER/Line® dataset from the US Census Bureau,,
2321489,4-Jun-22,Maryland,Baltimore,1900 block of Wilhelm St,1,0,N/A,39.28073,-76.600152,0.7,street_center,,Block St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau,1246,0.08
2321481,4-Jun-22,Maryland,Towson,185 E Pennsylvania Ave,1,1,N/A,39.400405,-76.60031,1,range_interpolation,185,E Pennsylvania Ave,,,Towson,MD,Baltimore County,21286,US,TIGER/Line® dataset from the US Census Bureau,2099,0.048
2320618,4-Jun-22,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,N/A,33.571363,-112.060347,0.8,intersection,,E Hatcher Rd,,,Phoenix,AZ,Maricopa County,85020,US,TIGER/Line® dataset from the US Census Bureau,,
2321398,4-Jun-22,Arizona,Gilbert,San Tan Village Pkwy and Ray Rd,1,0,N/A,33.319207,-111.877074,0.65,intersection,,N Santa Anna Pl,,,Chandler,AZ,Maricopa County,85224,US,TIGER/Line® dataset from the US Census Bureau,,
2321432,4-Jun-22,Utah,Salt Lake City (West Valley City),2300 W Ruddy Way,1,1,N/A,40.706816,-111.950325,0.89,nearest_rooftop_match,2292,W Ruddy Way,,,West Valley City,UT,Salt Lake County,84119,US,Utah AGRC (and individual UT counties),2505,0.04
2321418,4-Jun-22,New York,Albany,500 block of Central Ave,1,0,N/A,42.669545,-73.777504,0.9,range_interpolation,500,Central Ave,,,Albany,NY,Albany County,12206,US,TIGER/Line® dataset from the US Census Bureau,1783,0.056
2321372,4-Jun-22,Arkansas,Hot Springs National Park (Hot Springs),103 Coppertop Trail,2,1,N/A,34.493607,-93.137322,1,rooftop,103,Copper Top Trl,,,Hot Springs National Park,AR,Garland County,71913,US,Garland,1346,0.149
