Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321132,6/4/2022,Virginia,Richmond,1200 block of N 35th St,0,1,N/A,37.524246,-77.493157,0.5,place,,,,,Richmond,VA,Richmond City,23218,US,TIGER/Line® dataset from the US Census Bureau
2321112,6/4/2022,Georgia,Columbus,900 block of Fairfield Dr,0,1,N/A,32.628305,-85.058137,0.6,nearest_rooftop_match,850,Terry Ln,,,Fortson,GA,Harris County,31808,US,Harris
2321075,6/4/2022,Virginia,Hampton,400 block of Cedar Dr,0,3,N/A,37.05266,-76.338566,0.9,range_interpolation,400,Cedar Dr,,,Hampton,VA,Hampton City,23669,US,TIGER/Line® dataset from the US Census Bureau
2321081,6/4/2022,New Jersey,Jersey City,50 block of New Hope Ln,0,1,N/A,40.919658,-74.984628,0.5,place,,,,,Hope,NJ,Warren County,7844,US,TIGER/Line® dataset from the US Census Bureau
2321010,6/4/2022,North Carolina,Winston Salem (Winston-salem),800 block of Devonshire St,0,1,N/A,36.111102,-80.200493,0.5,place,,,,,Winston Salem,NC,Forsyth County,27101,US,TIGER/Line® dataset from the US Census Bureau
2320882,6/4/2022,Kentucky,Lexington,1975 Haggard Ct,1,1,N/A,38.076731,-84.459431,1,rooftop,1975,Haggard Ct,,,Lexington,KY,Fayette County,40505,US,Lexington Fayette
2320903,6/4/2022,Illinois,Chicago,2022 E 71st St,0,3,N/A,41.766449,-87.575366,1,rooftop,2022,E 71st St,,,Chicago,IL,Cook County,60649,US,Cook
2320968,6/4/2022,Illinois,Chicago,1100 W 79th St,0,1,N/A,41.750782,-87.651599,1,rooftop,1100,W 79th St,,,Chicago,IL,Cook County,60620,US,City of Chicago
2321212,6/4/2022,Minnesota,Minneapolis (Columbia Heights),4700 block of NE Central Ave,0,1,N/A,44.984577,-93.269097,0.5,place,,,,,Minneapolis,MN,Hennepin County,55401,US,TIGER/Line® dataset from the US Census Bureau
2320919,6/4/2022,District of Columbia,Washington,600 Block of Edgewood St NE,0,1,N/A,38.911936,-77.016719,0.5,place,,,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
2320916,6/4/2022,Maryland,Silver Spring,11225 Oak Leaf Dr,0,1,N/A,39.040648,-76.99439,1,rooftop,11225,Oak Leaf Dr,,,Silver Spring,MD,Montgomery County,20901,US,Montgomery
2320888,6/4/2022,Iowa,Davenport,100 block of W Third St,0,2,N/A,41.521038,-90.574849,0.5,place,,,,,Davenport,IA,Scott County,52801,US,TIGER/Line® dataset from the US Census Bureau
2321845,6/4/2022,Pennsylvania,Pittsburgh,8023 Bennett St,0,2,N/A,40.45458,-79.883557,1,rooftop,8023,Bennett St,,,Pittsburgh,PA,Allegheny County,15221,US,Allegheny
2321828,6/4/2022,Texas,Missouri City,7101 W Fuqua St,0,1,N/A,29.598768,-95.492742,1,rooftop,7101,W Fuqua St,,,Missouri City,TX,Fort Bend County,77489,US,Fort Bend
2320867,6/4/2022,Maryland,Baltimore,N/A,0,1,N/A,39.296536,-76.623489,1,place,,,,,Baltimore,MD,Baltimore City,21201,US,TIGER/Line® dataset from the US Census Bureau
2320839,6/4/2022,Indiana,Kokomo,N/A,0,1,N/A,40.506851,-86.171054,1,place,,,,,Kokomo,IN,Howard County,46901,US,TIGER/Line® dataset from the US Census Bureau
2321801,6/4/2022,Virginia,Richmond,300 block of Buffalo Rd,0,2,N/A,37.557553,-77.356138,0.9,range_interpolation,300,Buffalo Rd,,,Richmond,VA,Henrico County,23223,US,TIGER/Line® dataset from the US Census Bureau
2320668,6/4/2022,Texas,Dallas,4900 block of Alton Ave,1,1,N/A,32.781179,-96.790329,0.5,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
2320819,6/4/2022,Colorado,Denver,2100 block of N Grant St,0,2,N/A,39.760189,-104.996553,0.5,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
2321744,6/4/2022,Texas,Orange,2800 block of TX-62,0,1,N/A,30.071743,-93.864976,0.5,place,,,,,Orange,TX,Orange County,77630,US,TIGER/Line® dataset from the US Census Bureau
2321679,6/4/2022,Tennessee,Chattanooga,Monroe Ave and S Front St,0,3,N/A,35.052808,-85.258996,1,street_center,,Monroe St,,,Chattanooga,TN,Hamilton County,37406,US,TIGER/Line® dataset from the US Census Bureau
2320813,6/4/2022,Colorado,Colorado Springs,2501 E Platte Ave,0,1,N/A,38.838461,-104.779806,1,rooftop,2501,E Platte Ave,,,Colorado Springs,CO,El Paso County,80909,US,El Paso
2321742,6/4/2022,Oklahoma,Lawton,100 block of SW 19th St,0,1,N/A,34.557945,-98.290973,0.5,place,,,,,Lawton,OK,Comanche County,73501,US,TIGER/Line® dataset from the US Census Bureau
2321722,6/4/2022,Hawaii,Waianae,85-601 Farrington Hwy,0,1,N/A,21.450056,-158.193184,1,rooftop,85-601,Farrington Hwy,,,Waianae,HI,Honolulu County,96792,US,City And County of Honolulu
2321698,6/4/2022,New York,Hempstead,77 Terrace Ave,1,3,N/A,40.710272,-73.630634,1,rooftop,77,Terrace Ave,,,Hempstead,NY,Nassau County,11550,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
2321688,6/4/2022,Tennessee,Clarksville,2475 Tiny Town Rd,0,1,N/A,36.630024,-87.351442,1,rooftop,2475,Tiny Town Rd,,,Clarksville,TN,Montgomery County,37042,US,Montgomery
2321683,6/4/2022,Colorado,Colorado Springs,1315 E Pikes Peak Ave,0,1,N/A,38.827589,-104.799367,1,rooftop,1315,E Pikes Peak Ave,,,Colorado Springs,CO,El Paso County,80909,US,El Paso
2320704,6/4/2022,Texas,Houston,6913 Cullen Blvd,0,3,N/A,29.687574,-95.35396,1,rooftop,6913,Cullen Blvd,,,Houston,TX,Harris County,77021,US,Greater Houston
