Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2307403,19-May-22,California,San Francisco,Mariposa St and Owens St,2,0,N/A,37.764084,-122.392714,0.73,intersection,,Mariposa St,,,San Francisco,CA,San Francisco County,94107,US,TIGER/Line® dataset from the US Census Bureau
2307330,19-May-22,Utah,Pleasant Grove,200 W and 200 N,1,0,N/A,40.169481,-111.606925,0.8,intersection,,N 200 E,,,Springville,UT,Utah County,84663,US,TIGER/Line® dataset from the US Census Bureau
2307381,19-May-22,Arizona,Phoenix,Black Canyon Access Rd and Hazelwood St,1,0,N/A,33.504042,-112.112441,0.8,intersection,,N Black Canyon Hwy,,,Phoenix,AZ,Maricopa County,85015,US,TIGER/Line® dataset from the US Census Bureau
2307360,19-May-22,Florida,Lehigh Acres,1100 block of Truman Ave,1,0,N/A,26.593573,-81.661922,0.5,place,,,,,Lehigh Acres,FL,Lee County,33936,US,TIGER/Line® dataset from the US Census Bureau
2306440,19-May-22,Mississippi,Jackson,Mary Dell Dr and Northside Dr,1,0,N/A,32.338872,-90.210786,1,street_center,,Marydell St,,,Jackson,MS,Hinds County,39213,US,TIGER/Line® dataset from the US Census Bureau
2307122,19-May-22,Texas,Seabrook,2601 Repsdorph Rd,1,0,N/A,29.573621,-95.036475,1,rooftop,2601,Repsdorph Rd,,,Seabrook,TX,Harris County,77586,US,Greater Houston
2306578,19-May-22,Texas,Houston,9600 block of Court Glen Dr,1,0,N/A,29.813142,-95.309789,0.5,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
2307261,19-May-22,Connecticut,Hartford,127 Zion St,1,1,N/A,41.74463,-72.694336,1,rooftop,127,Zion St,,,Hartford,CT,Hartford County,6106,US,City of Hartford
2306357,19-May-22,Indiana,Indianapolis,N Illinois St and W 36th St,1,0,N/A,39.82114,-86.15917,1,intersection,,N Illinois St,,,Indianapolis,IN,Marion County,46208,US,TIGER/Line® dataset from the US Census Bureau
2307044,19-May-22,Illinois,Chicago,800 block of N State St,2,8,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2307125,19-May-22,Texas,Fort Worth,1060 Woodlands Cir,1,1,N/A,32.764009,-97.205829,0.85,nearest_rooftop_match,1036,Woodlands Cir,,,Fort Worth,TX,Tarrant County,76120,US,Statewide TX
2307113,19-May-22,Washington,Tacoma,1300 block of E Fairbanks St,1,0,N/A,47.250158,-122.43903,0.5,place,,,,,Tacoma,WA,Pierce County,98402,US,TIGER/Line® dataset from the US Census Bureau
