"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2300662,"May 12, 2022",Tennessee,Memphis,"572 Gilleas Rd",1,1,N/A
2299973,"May 12, 2022",Texas,Pharr,"407 N Jackson Rd",1,0,N/A
2300525,"May 11, 2022",Virginia,Norfolk,"5400 block of Greenplain Rd",1,0,N/A
2300533,"May 11, 2022",Ohio,Toledo,"1300 block of Fitchland Ave",1,0,N/A
2299481,"May 11, 2022",Michigan,Detroit,"8800 block of Burnette St",1,0,N/A
2300237,"May 11, 2022",Missouri,"Oak Ridge","State Hwy D and Co Rd 454",1,0,N/A
2299975,"May 11, 2022",Wisconsin,Milwaukee,"W Olive St and N 20th St",1,0,N/A
2299575,"May 11, 2022",Tennessee,Nashville,"6501 Harding Pike",1,0,N/A
2299964,"May 11, 2022",Wisconsin,Milwaukee,"4400 block of W Lisbon Ave",1,0,N/A
2299430,"May 11, 2022",Wisconsin,Milwaukee,"2485 S 5th Pl",1,0,N/A
2299596,"May 11, 2022",Georgia,Atlanta,"2260 Campbellton Rd SW",1,0,N/A
2299883,"May 11, 2022","District of Columbia",Washington,"1200 block of Brentwood Avenue NE",1,0,N/A
2299161,"May 11, 2022",Pennsylvania,Philadelphia,"5200 block of Bingham St",1,0,N/A
2299793,"May 11, 2022",Missouri,"Saint Louis","5000 block of N Kingshighway Blvd",1,3,N/A
2300224,"May 11, 2022",Texas,Austin,"E 17th St and Maple Ave",1,0,N/A
2301955,"May 11, 2022",Missouri,Ulman,N/A,1,0,N/A
2299868,"May 11, 2022",Maryland,Germantown,"19600 Crystal Rock Dr",2,0,N/A
2299307,"May 11, 2022","New Mexico",Albuquerque,"800 block of Cardenas Dr",1,0,N/A
2300504,"May 11, 2022",Ohio,Columbus,"422 Johnson St",1,0,N/A
2300419,"May 11, 2022",Florida,Melbourne,"653 E University Blvd",1,0,N/A
2300263,"May 11, 2022",Pennsylvania,Washington,"219 Ridge Ave",1,0,N/A
2299231,"May 11, 2022",Ohio,Cleveland,"E 64th St and Collier Ave",1,0,N/A
2299225,"May 11, 2022",Ohio,Cleveland,"Woodhill Rd and Parkview Ave",1,0,N/A
2300893,"May 11, 2022","New Mexico",Clovis,"900 block of Edwards St",1,0,N/A
2300226,"May 11, 2022",Texas,Austin,"1700 block of Frontier Valley Dr",1,0,N/A
2300213,"May 11, 2022",Pennsylvania,Philadelphia,"1800 block of N 28th St",1,0,N/A
2299197,"May 11, 2022",Arizona,Tucson,"10 W Fort Lowell Rd",1,0,N/A
2299725,"May 11, 2022",California,"Van Nuys","Ranchito Ave and Oxnard St",1,0,N/A
2300188,"May 11, 2022",Illinois,Geneva,"700 block of McKinley Ave",1,0,N/A
2300185,"May 11, 2022",Texas,"Fort Worth","2108 E Lancaster Ave",1,1,N/A
2299833,"May 11, 2022",Illinois,Chicago,"7500 block of S Wolcott Ave",1,0,N/A
2300115,"May 11, 2022",Pennsylvania,Philadelphia,"2200 block of S 6th St",1,0,N/A
2300830,"May 11, 2022","New Jersey",Paterson,"36 Essex St",1,4,N/A
2300083,"May 11, 2022",Louisiana,"New Iberia","700 block of Providence St",1,0,N/A
2300070,"May 11, 2022",Louisiana,"Belle Chasse","LA-23 and W Ravenna Rd",1,0,N/A
2300193,"May 11, 2022",Texas,Waco,"3501 Alta Vista Dr",1,0,N/A
2301490,"May 11, 2022","New Jersey",Irvington,"558 Grove St",1,0,N/A
2299804,"May 11, 2022",Missouri,"Saint Louis","Bircher Blvd and Amelia Ave",1,0,N/A
2299571,"May 10, 2022",Illinois,Romeoville,"275 S Weber Rd",1,0,N/A
2299929,"May 10, 2022",Alabama,Mobile,"2900 block of Steadham Dr",1,0,N/A
2299111,"May 10, 2022","North Carolina",Raleigh,"1830 New Bern Ave",1,0,N/A
2299010,"May 10, 2022","District of Columbia",Washington,"2600 Stanton Rd SE",1,0,N/A
2299004,"May 10, 2022","District of Columbia",Washington,"118 Galveston St SW",1,1,N/A
2298701,"May 10, 2022","North Carolina","High Point","2710 N Main St",1,0,N/A
2301095,"May 10, 2022",Tennessee,Prospect,"2500 block of Nancy Green Ridge Rd",1,0,N/A
2298817,"May 10, 2022",Texas,"San Antonio","5125 War Horse Dr",1,0,N/A
2298777,"May 10, 2022",Connecticut,Hartford,"300 block of Zion St",1,0,N/A
2298751,"May 10, 2022",Connecticut,Hamden,"4340 Farmington Canal Heritage Trl",1,0,N/A
2298727,"May 10, 2022",Texas,Houston,"5900 block of S Gessner Rd",1,0,N/A
2298796,"May 10, 2022","New York",Binghamton,"Floral Ave",1,0,N/A
2298712,"May 10, 2022",Texas,Houston,"3755 N MacGregor Way",1,0,N/A
2299060,"May 10, 2022","South Carolina",Greenville,"Gordon St",1,0,N/A
2300493,"May 10, 2022",Ohio,Lorain,"1000 block of W 45th Pl",1,1,N/A
2299291,"May 10, 2022",Texas,Katy,"612 Pederson Rd",1,0,N/A
2299334,"May 10, 2022",Wisconsin,"Milwaukee (Glendale)","1541 W Custer Ave",1,1,N/A
2298836,"May 10, 2022",Illinois,Chicago,"4800 block of S Ada St",1,4,N/A
2299448,"May 10, 2022",Illinois,Chicago,"10400 block of S Ave M",1,0,N/A
2298618,"May 10, 2022",Tennessee,Memphis,"N Hollywood St and Vollintine Ave",1,0,N/A
2298606,"May 10, 2022",Massachusetts,Falmouth,"49 Old Main Rd",1,0,N/A
2299478,"May 10, 2022",Virginia,Pulaski,"Nancy Green Ridge Rd",1,0,N/A
2300344,"May 10, 2022",Indiana,Gary,"4400 block of Washington St",1,0,N/A
2301071,"May 10, 2022",Georgia,Atlanta,"180 Ted Turner Dr",1,0,N/A
2298573,"May 10, 2022",Missouri,"Kansas City","Bellefontaine Ave and E 49th St",1,0,N/A
2299806,"May 10, 2022",Missouri,"Saint Louis","1300 block of Market St",1,0,N/A
2298444,"May 10, 2022",Georgia,Atlanta,"1099 Boulevard SE",1,1,N/A
2301791,"May 10, 2022",Georgia,"Atlanta (East Point)","3073 Washington Rd",1,0,N/A
2300099,"May 10, 2022",Oregon,Gresham,"700 block of SE 185th Ave",3,0,N/A
2298591,"May 10, 2022",Maryland,Baltimore,"700 block of N Rose St",1,3,N/A
2299345,"May 10, 2022",Wisconsin,Racine,"1400 block of Dr Martin Luther King Dr",1,2,N/A
2300337,"May 10, 2022",Indiana,Gary,"1700 block of W 5th Ave",1,0,N/A
2298859,"May 10, 2022","New York",Bronx,"1361 Ogden Ave",1,0,N/A
2300985,"May 10, 2022",Florida,Apopka,N/A,1,0,N/A
2299255,"May 10, 2022",Texas,"San Antonio","6420 NW Loop 410",1,0,N/A
2298882,"May 10, 2022",Texas,"Port Arthur","1600 block of Maple Ave",1,0,N/A
2299233,"May 10, 2022",Michigan,Detroit,"19100 block of Packard St",1,0,N/A
2299476,"May 10, 2022",Florida,Tampa,"2532 Lake Ellen Cir",1,0,N/A
2299176,"May 10, 2022",Texas,Brookshire,"Purdy and 4th St",1,3,N/A
2299056,"May 10, 2022",Texas,"Dime Box","1000 block of Stephen F Austin Ave",1,1,N/A
2300195,"May 10, 2022",Idaho,Hayden,N/A,1,0,N/A
2299147,"May 10, 2022","New York",Bronx,"Claremont Pkwy and Bathgate Ave",1,1,N/A
2300060,"May 10, 2022",Louisiana,"New Orleans","N Broad St and Hope St",1,0,N/A
2299113,"May 10, 2022",Alabama,Birmingham,"8300 block of 4th Ave S",1,0,N/A
2298994,"May 10, 2022",Louisiana,Clinton,"11800 Marston St",1,1,N/A
2300035,"May 10, 2022",Missouri,"Saint Louis","2200 block of St Louis Ave",1,0,N/A
2299046,"May 10, 2022","South Carolina",Mullins,"Prevatte St",1,0,N/A
2299034,"May 10, 2022","South Carolina",Lugoff,"521 Highway 601 North S",1,1,N/A
2299816,"May 10, 2022",Illinois,"East Saint Louis","2200 block of St. Louis Ave",1,0,N/A
2298986,"May 10, 2022",Alabama,"Mobile (Prichard)","US-45 and S Leeds Ave",2,0,N/A
2299294,"May 10, 2022",Arizona,Yuma,"5th Ave and W 9th St",1,0,N/A
2298898,"May 9, 2022",Texas,Denton,"1500 block of Bolivar St",1,0,N/A
2297534,"May 9, 2022",Texas,Houston,"8181 El Mundo St",1,0,N/A
2297984,"May 9, 2022",Tennessee,"Johnson City (Gray)","Bobby Hicks Hwy and Kingsport Hwy",1,0,N/A
2297906,"May 9, 2022","New York","Staten Island","Union Pl and Beach St",1,0,N/A
2298787,"May 9, 2022",Texas,Houston,"4412 North Fwy",1,0,N/A
2297894,"May 9, 2022",Indiana,Evansville,"US-41 and IN-57",1,0,N/A
2298736,"May 9, 2022",Texas,Houston,"17119 Tomball Pkwy",1,0,N/A
2297773,"May 9, 2022",Illinois,Peoria,"E Behrends Ave and N Maryland Ave",1,0,N/A
2298685,"May 9, 2022",Iowa,Ames,"3000 block of Regency Ct",1,0,N/A
2298643,"May 9, 2022",Delaware,Wilmington,"600 block of West St",1,0,N/A
2298984,"May 9, 2022",Utah,"Salt Lake City (South Salt Lake)","2193 S Main St",1,0,N/A
2298056,"May 9, 2022",Michigan,"Madison Heights","28611 John R Rd",1,0,N/A
2298366,"May 9, 2022",Illinois,Decatur,"1300 block of N Walnut Grove Ave",1,0,N/A
2297536,"May 9, 2022",Texas,Houston,"7744 McLean St",1,0,N/A
2300323,"May 9, 2022",Indiana,Hammond,"1100 block of Truman St",1,0,N/A
2298016,"May 9, 2022",Florida,Orlando,"7700 block of Silver Pointe Blvd",2,0,N/A
2297916,"May 9, 2022","New York","Corona (Queens)","66-17 Fresh Pond Rd",2,1,N/A
2298413,"May 9, 2022",Georgia,Macon,"3350 Houston Ave",1,0,N/A
2298321,"May 9, 2022",Maryland,Baltimore,"3000 Block of E Preston St",1,0,N/A
2298358,"May 9, 2022",Pennsylvania,Philadelphia,"3100 block of W Westmont St",1,1,N/A
2297551,"May 9, 2022",Texas,Houston,"8920 Gulf Fwy",1,1,N/A
2297821,"May 9, 2022","New Mexico",Albuquerque,"3100 block of Ortiz Dr NE",1,0,N/A
2298289,"May 9, 2022",Florida,"Miami Gardens","NW 200th St and NW 36th Ct",1,0,N/A
2297464,"May 9, 2022",Florida,Orlando,"2500 block of Egret Shores Dr",1,0,N/A
2298240,"May 9, 2022",Florida,Jacksonville,"4600 block of Bristol Ave",1,0,N/A
2298242,"May 9, 2022",Florida,Jacksonville,"2500 block of Jammes Rd",1,0,N/A
2298223,"May 9, 2022",Pennsylvania,Pittsburgh,"700 E Warrington Ave",1,2,N/A
2298706,"May 9, 2022",Arizona,Phoenix,"N 36th St and McDowell Rd",1,0,N/A
2299173,"May 9, 2022",Texas,Houston,"7700 Fulton St",1,0,N/A
2299151,"May 9, 2022",Pennsylvania,Philadelphia,"1000 block of E Mount Airy Ave",1,0,N/A
2297761,"May 9, 2022",Illinois,Chicago,"1335 E Louis Munoz Marin Dr",2,0,N/A
2297433,"May 9, 2022",Washington,Tacoma,"5400 block of S Tacoma Way",1,0,N/A
2298794,"May 9, 2022",Connecticut,Bridgeport,"Washington Terr",1,0,N/A
2297921,"May 9, 2022",Alabama,Montgomery,"2312 Eastern Blvd",1,0,N/A
2297957,"May 9, 2022","North Carolina",Leasburg,"9385 Leasburg Rd",2,0,N/A
2299084,"May 9, 2022",Texas,Dallas,"2911 E Ledbetter Dr",1,0,N/A
2299066,"May 9, 2022","South Carolina","Myrtle Beach","Leste Rd",1,0,N/A
2297775,"May 9, 2022",Georgia,Canon,"Redwine Church Rd",2,0,N/A
2300021,"May 9, 2022",Mississippi,Tchula,"106 Old Hwy 49",1,0,N/A
2298058,"May 8, 2022",Mississippi,Jackson,"Ginger Dr",1,1,N/A
2297077,"May 8, 2022","New Mexico",Albuquerque,"10254 Coors Bypass NW",3,0,N/A
2297294,"May 8, 2022",Connecticut,Waterbury,"Willow St",1,0,N/A
2297713,"May 8, 2022","New York",Middletown,"567 Rte 211 E",2,0,N/A
2296963,"May 8, 2022",Michigan,Clarkston,"5901 Dixie Hwy",3,0,N/A
2301337,"May 8, 2022",Ohio,Cleveland,"Benham Ave and E 98th St",1,0,N/A
2297952,"May 8, 2022","North Carolina","Rocky Mount","Meadowbrook Rd and Springfield Rd",1,0,N/A
2297939,"May 8, 2022",Alabama,Montgomery,"5800 block of E Shirley Ln",1,0,N/A
2297257,"May 8, 2022",Tennessee,Madison,"1830 Spring Branch Dr",1,0,N/A
2297360,"May 8, 2022",Arkansas,Springdale,"3200 S Thompson St",1,0,N/A
2297244,"May 8, 2022",Pennsylvania,Philadelphia,"900 block of W Girard Ave",1,0,N/A
2297240,"May 8, 2022",Pennsylvania,Philadelphia,"900 block of E. Schiller St",1,2,N/A
2297200,"May 8, 2022",Missouri,"Saint Louis","Marcus Ave and Labadie Ave",1,0,N/A
2297010,"May 8, 2022",Illinois,Matteson,"189 Town Center Rd",1,1,N/A
2297830,"May 8, 2022",Illinois,Chicago,"1200 block of W 73rd St",1,0,N/A
2297284,"May 8, 2022",Virginia,"Newport News","1100 block of 73rd St",1,0,N/A
2297107,"May 8, 2022","North Carolina",Charlotte,"1015 Deep Rock Cir",1,0,N/A
2297391,"May 8, 2022",California,Gardena,"1351 W Redondo Beach Blvd",1,0,N/A
2297157,"May 8, 2022",California,"Canoga Park","22547 Victory Blvd",3,0,N/A
2297570,"May 8, 2022","West Virginia",Beckley,"2120 Harper Rd",1,1,N/A
2297094,"May 8, 2022","New Mexico",Albuquerque,"8601 Central Avenue NE",1,0,N/A
2297509,"May 8, 2022",Minnesota,Byron,"5700 block of County Rd 105 NW",1,0,N/A
2297308,"May 8, 2022",Virginia,Gainesville,"14701 Deming Dr",1,0,N/A
2296727,"May 8, 2022",Illinois,Chicago,"1500 block of S Sawyer Ave",1,0,N/A
2297745,"May 8, 2022",Illinois,Chicago,"2100 of W Maypole Ave",1,0,N/A
2297006,"May 8, 2022",Kentucky,Louisville,"S 26th St and W Broadway",1,0,N/A
2297229,"May 8, 2022",Missouri,Columbia,"800 block of Grand Ave",1,0,N/A
2296980,"May 8, 2022",Georgia,Savannah,"Bull St and Broughton St",1,1,N/A
